GEOID,label,label_three,label_four,TRACTCE10,NAME10,NAMELSAD10,INTPTLAT,INTPTLONG,long+,long-,lat+,lat-,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Percent bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race),Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Homeowner vacancy rate,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total households,Total population,Sex ratio (males per 100 females),Median age (years),relation_max_fee,relation_min_fee
17031010100,1,1,1,10100,101,Census Tract 101,42.02,-87.67,-87.67,-87.67,42.02,42.02,0,0.02,0.02,0.01,0.12,0.08,0.04,0.11,0.11,0.26,0.12,0.07,0.04,0.2,0.89,0.62,0,0,0.84,0.12,0.48,0.54,0.14,0.01,0.02,0,0.87,0.05,0.62,0.53,0.01,0.08,0.36,0.2,0.08,0.45,0.46,0,0.01,0.09,398,495,35.9,33750,50719,2626,3.2,10.3,3.7,250000,1954,650,865,4301,767,733,2248,4444,91.2,33.7,1003,943
17031010201,0,0,0,10201,102.01,Census Tract 102.01,42.02,-87.68,-87.68,-87.68,42.02,42.01,0,0.02,0.07,0.02,0.11,0.13,0.03,0.09,0.11,0.25,0.09,0.05,0.04,0.15,0.84,0.43,0,0,0.71,0.17,0.41,0.28,0.2,0.02,0.08,0.01,0.76,0.06,0.48,0.39,0.11,0.1,0.3,0.19,0.09,0.51,0.39,0.01,0.02,0.23,644,934,39.2,40841,57921,2994,0,5.3,4,150500,1613,714,989,7007,2710,2663,2670,7197,108,34.8,1076,865
17031010202,0,1,1,10202,102.02,Census Tract 102.02,42.02,-87.67,-87.67,-87.68,42.02,42.01,0,0.03,0.08,0.03,0.13,0.03,0.02,0.06,0.11,0.24,0.16,0.09,0.01,0.12,0.75,0.43,0,0,0.73,0.16,0.39,0.42,0.15,0.02,0.05,0.08,0.63,0.11,0.53,0.47,0.12,0.1,0.32,0.17,0.2,0.5,0.3,0,0.08,0.29,210,185,31.5,36563,46507,1216,5.8,7,3.5,168300,1201,813,943,2173,1022,963,976,2487,96.1,36.7,1003,865
17031010300,0,1,1,10300,103,Census Tract 103,42.02,-87.67,-87.66,-87.67,42.02,42.01,0,0.02,0.05,0.01,0.07,0.04,0,0.04,0.2,0.28,0.2,0.05,0.04,0.12,0.86,0.6,0,0,0.69,0.18,0.41,0.38,0.18,0.02,0.06,0.02,0.73,0.1,0.54,0.37,0.05,0.1,0.35,0.21,0.22,0.6,0.29,0,0.06,0.19,395,372,40.2,36870,66444,3395,0,5.5,3.5,174400,1533,597,948,5420,1608,1566,2982,6413,93.2,42.1,990,865
17031010400,0,0,0,10400,104,Census Tract 104,42.01,-87.66,-87.66,-87.66,42.01,42,0.01,0.01,0.02,0,0.14,0.03,0.03,0.05,0.11,0.33,0.2,0.09,0,0.13,0.94,0.81,0,0,0.82,0.23,0.39,0.38,0.12,0.01,0.01,0.04,0.55,0.09,0.7,0.69,0.01,0.01,0.64,0.33,0.1,0.7,0.22,0,0.06,0.07,306,348,33.6,39634,53991,2218,0,11.5,3.7,226200,1765,651,979,3868,613,585,1870,5411,82.5,23.8,990,706
17031010501,1,1,1,10501,105.01,Census Tract 105.01,42.01,-87.66,-87.66,-87.67,42.01,42.01,0,0,0.04,0,0.08,0.1,0.02,0.05,0.13,0.33,0.14,0.05,0.05,0.14,0.85,0.66,0.01,0,0.88,0.16,0.52,0.5,0.1,0.01,0,0,0.95,0.11,0.64,0.58,0.02,0.04,0.55,0.24,0.14,0.54,0.33,0,0.05,0.1,268,196,37,31985,43210,2606,0,9.5,3.5,184200,1519,0,945,4060,1085,1021,2348,4081,91.5,37.1,990,706
17031010502,1,2,2,10502,105.02,Census Tract 105.02,42,-87.66,-87.66,-87.67,42.01,42,0,0.01,0.03,0.01,0.08,0.07,0.02,0.04,0.14,0.29,0.2,0.1,0.01,0.09,0.85,0.69,0,0,0.82,0.21,0.49,0.48,0.08,0.05,0.02,0,0.6,0.05,0.59,0.64,0.01,0.05,0.52,0.28,0.09,0.61,0.25,0,0.09,0.06,64,140,36.1,33721,45594,1749,0,5.8,3.4,217800,1695,731,957,2599,733,675,1505,2631,110.8,31.6,1052,706
17031010503,0,0,0,10503,105.03,Census Tract 105.03,42,-87.66,-87.66,-87.67,42,42,0,0,0.07,0.01,0.11,0.03,0.02,0.11,0.09,0.19,0.26,0.1,0.01,0.34,0.94,0.63,0,0.03,0.81,0.14,0.49,0.55,0.07,0.05,0.03,0.04,0.44,0.31,0.62,0.58,0.11,0.1,0.38,0.35,0.32,0.73,0.07,0,0.14,0.14,101,41,36.8,19671,46195,1315,0,17.7,3,358500,2420,468,706,2020,570,554,1049,2047,93.5,30.9,1052,943
17031010600,0,0,0,10600,106,Census Tract 106,42.01,-87.67,-87.66,-87.67,42.01,42,0.01,0.01,0.04,0.01,0.11,0.04,0.05,0.08,0.15,0.34,0.08,0.1,0.01,0.11,0.8,0.66,0,0,0.79,0.16,0.47,0.39,0.13,0.01,0.02,0.04,0.73,0.07,0.62,0.57,0.05,0.03,0.47,0.29,0.07,0.62,0.22,0,0.02,0.23,336,588,39.2,40576,61445,3272,0,8.6,4.1,221700,1750,880,990,6331,1662,1591,2993,6515,107.7,32.5,979,706
17031010701,0,2,2,10701,107.01,Census Tract 107.01,42.01,-87.68,-87.68,-87.68,42.01,42.01,0,0.02,0.05,0,0.13,0.05,0.04,0.05,0.1,0.21,0.25,0.09,0.02,0.07,0.89,0.58,0,0,0.51,0.13,0.3,0.19,0.26,0.05,0.05,0.01,0.71,0.04,0.44,0.31,0.15,0.04,0.43,0.17,0.12,0.6,0.18,0,0.12,0.36,405,525,34.2,60798,71225,1697,0.9,4.9,4.7,198100,1595,807,1003,3833,1455,1352,1530,3833,91.1,36.1,1076,943
