,Own children of the householder 6 to 17 years,YEAR OF ENTRY Foreign born,Median age (years),GROSS RENT Occupied units paying rent Median (dollars),Sex ratio (males per 100 females),"Educational services, and health care and social assistance",relation_max_fee,White,ROOM Median rooms,Hispanic or Latino (of any race),Mean household income (dollars),VALUE Median (dollars),Mean travel time to work (minutes),Total population,Rental vacancy rate,relation_min_fee,HOUSING TENURE Renter-occupied,"Arts, entertainment, and recreation, and accommodation and food services",SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),Own children of the householder under 6 years,label,INTPTLONG,INTPTLAT,geoid
0,489.0,1449.0,,1609.0,95.8,0.25,2120.0,0.77,4.5,0.32,69041.0,458700.0,33.8,4314.0,2.1,1198.0,0.52,0.09,411.0,2270.0,230.0,0.0,-118.2929869,34.2594737,6037101110.0
1,351.0,846.0,,2120.0,90.1,0.25,2016.0,0.88,5.4,0.04,118157.0,608400.0,41.5,3239.0,0.0,1198.0,0.18,0.06,613.0,2602.0,42.0,0.0,-118.2901465,34.2677213,6037101122.0
2,804.0,3024.0,,1318.0,124.1,0.24,2120.0,0.79,3.6,0.43,50062.0,374300.0,28.1,6052.0,1.4,1198.0,0.86,0.1,106.0,2133.0,500.0,0.0,-118.2907309,34.2529724,6037101210.0
3,538.0,1686.0,,1198.0,84.7,0.22,2120.0,0.71,4.0,0.38,56903.0,414800.0,29.6,3497.0,0.0,1318.0,0.64,0.06,511.0,2104.0,188.0,0.0,-118.2816328,34.2516083,6037101220.0
4,181.0,764.0,,2111.0,84.5,0.26,2063.0,0.86,5.1,0.27,92459.0,591700.0,27.3,1771.0,0.0,1125.0,0.34,0.04,671.0,2578.0,110.0,0.0,-118.354188,34.2250792,6037102103.0
5,314.0,1784.0,,2063.0,86.6,0.26,2111.0,0.77,5.6,0.16,91305.0,548900.0,30.1,3554.0,0.0,1156.0,0.3,0.13,700.0,2581.0,194.0,0.0,-118.3453981,34.2161873,6037102104.0
6,273.0,765.0,,1455.0,105.4,0.25,2111.0,0.64,4.4,0.68,74509.0,463900.0,25.0,1857.0,0.0,1156.0,0.52,0.14,650.0,2021.0,62.0,0.0,-118.3492653,34.209876,6037102105.0
7,619.0,1367.0,,1125.0,112.3,0.16,2111.0,0.79,5.9,0.27,112644.0,625600.0,31.2,4333.0,0.0,1190.0,0.26,0.09,796.0,2707.0,44.0,0.0,-118.3396019,34.2409052,6037102107.0
8,224.0,790.0,,2016.0,111.5,0.25,2120.0,0.85,5.6,0.25,99208.0,509600.0,36.2,2597.0,0.0,1125.0,0.15,0.06,584.0,2399.0,225.0,0.0,-118.3078874,34.2732407,6037103101.0
9,473.0,2077.0,,1583.0,100.1,0.25,2120.0,0.73,5.2,0.23,87561.0,447500.0,35.7,4456.0,7.7,1125.0,0.21,0.06,558.0,2115.0,160.0,0.0,-118.3073883,34.2633843,6037103102.0
