Label (Grouping),Unemployment Rate,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race),Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Homeowner vacancy rate,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total households,Total population,Sex ratio (males per 100 females),Median age (years),tract_x,geoid,label_bin,label_three,label_four,USPS,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,relation_max_fee,relation_min_fee
9901,0.07006916427,0.005262247839,0.06329682997,0.1009913545,0.03531412104,0.1076426513,0.05986167147,0.03993659942,0.06013832853,0.1257233429,0.2023861671,0.112778098,0.06093371758,0.0319481268,0.05801152738,0.8867377522,0.5669913545,0.005982708934,0.009878962536,0.5461556196,0.1458213256,0.3151239193,0.09308357349,0.348945245,0.2328184438,0.07990778098,0.05712391931,0.7180639535,0.1531004619,0.4480760369,0.3858870968,0.1388306452,0.09388824885,0.2980414747,0.1298156682,0.1602419355,0.5166532258,0.07277073733,0.006785714286,0.1496428571,0.4926209677,0,0,31.60098096,68085.3887,88101.58131,0,1.072093023,3.075605536,4.6676097,569234.4683,2403.218731,607.7262533,1538.682558,0,0,0,0,0,131.9315092,36.82851382,9901,6073009901,1,1,1,CA,5606686,1665633,2.165,0.643,32.6853619,-117.2455744,1864,1155
9202,0.07006916427,0.005262247839,0.06329682997,0.1009913545,0.03531412104,0.1076426513,0.05986167147,0.03993659942,0.06013832853,0.1257233429,0.2023861671,0.112778098,0.06093371758,0.0319481268,0.05801152738,0.8867377522,0.5669913545,0.005982708934,0.009878962536,0.5461556196,0.1458213256,0.3151239193,0.09308357349,0.348945245,0.2328184438,0.07990778098,0.05712391931,0.7180639535,0.1531004619,0.75,0.7,0.05,0.38,0.03,0.11,0.01,0.48,0.17,0.06,0.02,0.57,0,0,31.60098096,68085.3887,88101.58131,0,1.072093023,3.075605536,4.6676097,569234.4683,2403.218731,607.7262533,1538.682558,0,725,673,0,5243,52330,32.2,9202,6073009202,0,0,0,CA,3619053,0,1.397,0,32.7860364,-117.1428842,1978,1155
7002,0.03,0,0.01,0.03,0.01,0.13,0.04,0.16,0.04,0.22,0.1,0.2,0.07,0.01,0.07,0.91,0.8,0,0.03,0.88,0.21,0.41,0.1,0.27,0.03,0,0.01,0.55,0.47,0.67,0.53,0.03,0.01,0.63,0.44,0.14,0.79,0.05,0.01,0.04,0.11,123,182,29,65190,93129,4750,0,1.7,3.4,719500,2919,955,1565,7005,1382,1205,4516,7082,117.3,38.2,7002,6073007002,0,0,3,CA,1443428,0,0.557,0,32.732371,-117.2356355,1864,1155
5400,0.1,0.01,0.12,0.22,0.06,0.12,0.08,0.01,0.01,0.09,0.09,0.11,0.07,0,0.04,0.86,0.42,0,0,0.65,0.08,0.35,0.07,0.33,0.37,0.15,0.1,0.68,0.19,0.52,0.41,0.29,0.21,0.05,0.03,0.09,0.68,0.03,0,0.01,0.95,641,1284,32.6,54447,63862,1618,0,0,4.8,368900,2056,555,1241,7231,2984,2899,1587,7231,113.3,30.5,5400,6073005400,0,0,0,CA,1544773,0,0.596,0,32.7119409,-117.1666546,1864,1155
4600,0.06,0,0.05,0.04,0.06,0.1,0.03,0.04,0.07,0.17,0.3,0.09,0.03,0.02,0.03,0.96,0.81,0.01,0.01,0.11,0.11,0.2,0.04,0.41,0.36,0.01,0,0.69,0.08,0.26,0.26,0.04,0.03,0.62,0.22,0.27,0.71,0.04,0,0.21,0.15,252,541,32,142827,184232,1846,0.5,11.8,6.3,898800,3444,806,1864,4597,1350,1255,1677,4613,104.2,49.2,4600,6073004600,0,0,0,CA,387073,0,0.149,0,32.7151766,-117.1449004,2423,1155
3201,0.08,0.03,0.11,0.15,0.03,0.17,0.02,0.02,0.06,0.08,0.2,0.05,0.05,0.05,0.04,0.86,0.54,0,0,0.3,0.07,0.27,0.02,0.39,0.38,0.13,0.02,0.71,0.06,0.45,0.45,0.22,0.11,0.12,0.05,0.12,0.63,0.02,0,0.01,0.91,387,1247,32.3,71883,83097,1871,2,0,5.3,403600,1945,548,1640,7429,2836,2750,1795,7429,95.7,34.3,3201,6073003201,0,0,0,CA,1617951,0,0.625,0,32.6836181,-117.0608884,2302,1682
3115,0.05,0,0.06,0.06,0.01,0.05,0.02,0.19,0.06,0.15,0.18,0.13,0.08,0.02,0.03,0.94,0.82,0,0,0.58,0.17,0.3,0.04,0.36,0.21,0.04,0.01,0.73,0.06,0.43,0.35,0.02,0.04,0.48,0.24,0.14,0.76,0.03,0,0.1,0.24,538,641,28.8,87685,111571,2428,0,0,4.5,745200,2914,406,1831,5780,1098,1080,2428,5780,84.5,40.1,3115,6073003115,0,0,0,CA,1532912,0,0.592,0,32.6955808,-117.0379718,3500,1346
3114,0.07,0,0.01,0.04,0.02,0.08,0.04,0.19,0.08,0.13,0.18,0.18,0.05,0.02,0.07,0.96,0.8,0,0,0.33,0.12,0.29,0.02,0.45,0.16,0,0,0.72,0.11,0.37,0.34,0.02,0.02,0.5,0.28,0.21,0.82,0.01,0.01,0.1,0.15,119,230,29.5,86726,120759,997,0,2.5,5.3,708200,2805,551,1985,2279,401,386,973,2279,91.4,43.2,3114,6073003114,0,0,0,CA,1135917,0,0.439,0,32.6998003,-117.045003,3500,1682
3113,0.04,0,0.05,0.05,0.03,0.08,0.01,0.22,0.07,0.12,0.19,0.09,0.07,0.03,0.06,0.92,0.79,0,0,0.3,0.09,0.22,0.06,0.42,0.21,0.01,0.01,0.78,0.09,0.4,0.33,0.05,0.04,0.44,0.2,0.17,0.71,0.02,0,0.17,0.27,315,448,28.9,104773,121294,1520,0,0,5.3,668700,2548,378,1943,3883,1056,997,1488,3883,89.5,40.3,3113,6073003113,1,2,2,CA,1588340,0,0.613,0,32.6961845,-117.0644799,2302,1467
3112,0.06,0,0.04,0.03,0.02,0.13,0.01,0.14,0.07,0.18,0.15,0.18,0.05,0.01,0.06,0.98,0.81,0,0,0.56,0.1,0.32,0.03,0.36,0.14,0.03,0,0.7,0.02,0.44,0.31,0.01,0.04,0.42,0.26,0.16,0.73,0.04,0,0.06,0.32,217,380,26.7,76048,85027,1294,0,0,4.6,617200,2815,345,1682,3138,596,593,1278,3143,104.9,35.5,3112,6073003112,0,0,0,CA,1503296,0,0.58,0,32.7058788,-117.0628402,2423,1467
