,Label (Grouping),Unemployment Rate,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2018 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race),Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Homeowner vacancy rate,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total households,Total population,Sex ratio (males per 100 females),Median age (years),tract_x,GEOID,typology_x,typ_cat_x,label_x,Unnamed: 0,tract_y,typology_y,typ_cat_y,label_y,USPS,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                             
0,1011.1,0.08,0.02,0.10,0.07,0.04,0.03,0.04,0.05,0.09,0.10,0.25,0.09,0.07,0.07,0.07,0.87,0.52,0.00,0.01,0.52,0.11,0.24,0.08,0.31,0.23,0.03,0.02,0.84,0.20,0.48,0.29,0.07,0.11,0.23,0.12,0.21,0.77,0.01,0.00,0.08,0.32,230.0,489.0,33.8,53077.0,69041.0,1743.0,0.0,2.1,4.5,458700.00,2270.0,411.0,1609.0,4219.0,1533.0,1449.0,1596.0,4314.0,95.8,40.6,101110.0,6037101110.0,1.0,['LISD'],0.0,730.0,101110.0,1.0,['LISD'],0.0,CA,1142402,0,0.441,0.0,34.2594737,-118.2929869
1,1011.22,0.05,0.03,0.13,0.08,0.02,0.11,0.05,0.06,0.08,0.09,0.25,0.06,0.03,0.04,0.04,0.93,0.78,0.00,0.00,0.18,0.11,0.22,0.01,0.44,0.28,0.04,0.01,0.78,0.08,0.31,0.26,0.05,0.01,0.31,0.17,0.24,0.88,0.02,0.00,0.06,0.04,42.0,351.0,41.5,88953.0,118157.0,1391.0,3.3,0.0,5.4,608400.00,2602.0,613.0,2120.0,3234.0,1068.0,846.0,1256.0,3239.0,90.1,52.3,101122.0,6037101122.0,9.0,['SAE'],0.0,2755.0,101122.0,9.0,['SAE'],0.0,CA,2644045,0,1.021,0.0,34.2677213,-118.2901465
2,1012.1,0.10,0.02,0.07,0.04,0.03,0.16,0.06,0.02,0.06,0.12,0.24,0.10,0.08,0.03,0.12,0.89,0.35,0.00,0.00,0.86,0.15,0.41,0.12,0.30,0.09,0.08,0.04,0.88,0.24,0.49,0.27,0.13,0.06,0.20,0.05,0.13,0.79,0.03,0.00,0.04,0.43,500.0,804.0,28.1,32119.0,50062.0,2402.0,0.0,1.4,3.6,374300.00,2133.0,106.0,1318.0,5987.0,3107.0,3024.0,2321.0,6052.0,124.1,36.6,101210.0,6037101210.0,1.0,['LISD'],0.0,632.0,101210.0,1.0,['LISD'],0.0,CA,650690,0,0.251,0.0,34.2529724,-118.2907309
3,1012.2,0.08,0.01,0.11,0.06,0.01,0.15,0.06,0.05,0.03,0.15,0.22,0.06,0.07,0.03,0.05,0.90,0.45,0.00,0.01,0.64,0.15,0.30,0.09,0.32,0.17,0.08,0.04,0.81,0.08,0.38,0.33,0.11,0.10,0.20,0.07,0.20,0.71,0.02,0.00,0.09,0.38,188.0,538.0,29.6,41728.0,56903.0,1328.0,0.0,0.0,4.0,414800.00,2104.0,511.0,1198.0,3497.0,1725.0,1686.0,1294.0,3497.0,84.7,39.7,101220.0,6037101220.0,1.0,['LISD'],0.0,2077.0,101220.0,1.0,['LISD'],0.0,CA,698886,0,0.27,0.0,34.2516083,-118.2816328
4,1021.03,0.09,0.00,0.09,0.03,0.00,0.24,0.03,0.06,0.11,0.07,0.26,0.04,0.05,0.03,0.03,0.90,0.71,0.02,0.05,0.34,0.19,0.25,0.01,0.38,0.26,0.00,0.04,0.81,0.04,0.28,0.19,0.03,0.04,0.39,0.16,0.21,0.86,0.00,0.00,0.06,0.27,110.0,181.0,27.3,76333.0,92459.0,726.0,0.0,0.0,5.1,591700.00,2578.0,671.0,2111.0,1771.0,807.0,764.0,696.0,1771.0,84.5,45.8,102103.0,6037102103.0,6.0,['SMMI'],0.0,2756.0,102103.0,6.0,['SMMI'],0.0,CA,1186484,0,0.458,0.0,34.2250792,-118.354188
5,1021.04,0.10,0.03,0.04,0.04,0.04,0.06,0.05,0.04,0.03,0.15,0.26,0.13,0.13,0.00,0.07,0.94,0.61,0.00,0.00,0.30,0.13,0.35,0.07,0.40,0.21,0.02,0.00,0.72,0.25,0.28,0.23,0.06,0.03,0.37,0.20,0.25,0.77,0.03,0.00,0.13,0.16,194.0,314.0,30.1,70754.0,91305.0,1345.0,0.0,0.0,5.6,548900.00,2581.0,700.0,2063.0,3328.0,1798.0,1784.0,1270.0,3554.0,86.6,41.1,102104.0,6037102104.0,6.0,['SMMI'],0.0,2757.0,102104.0,6.0,['SMMI'],0.0,CA,1658545,0,0.64,0.0,34.2161873,-118.3453981
6,1021.05,0.09,0.00,0.06,0.15,0.01,0.06,0.03,0.05,0.06,0.08,0.25,0.14,0.11,0.04,0.02,0.90,0.60,0.00,0.00,0.52,0.13,0.28,0.01,0.38,0.25,0.09,0.01,0.82,0.06,0.45,0.31,0.13,0.08,0.20,0.11,0.12,0.64,0.02,0.01,0.06,0.68,62.0,273.0,25.0,52132.0,74509.0,589.0,0.0,0.0,4.4,463900.00,2021.0,650.0,1455.0,1857.0,781.0,765.0,563.0,1857.0,105.4,40.7,102105.0,6037102105.0,1.0,['LISD'],0.0,2758.0,102105.0,1.0,['LISD'],0.0,CA,492761,0,0.19,0.0,34.209876,-118.3492653
7,1021.07,0.06,0.01,0.07,0.11,0.02,0.09,0.04,0.07,0.10,0.16,0.16,0.09,0.05,0.05,0.02,0.99,0.69,0.02,0.00,0.26,0.15,0.20,0.04,0.44,0.36,0.01,0.02,0.75,0.03,0.45,0.27,0.04,0.05,0.34,0.13,0.19,0.79,0.03,0.00,0.09,0.27,44.0,619.0,31.2,106037.0,112644.0,1352.0,4.0,0.0,5.9,625600.00,2707.0,796.0,1125.0,4106.0,1412.0,1367.0,1305.0,4333.0,112.3,44.8,102107.0,6037102107.0,6.0,['SMMI'],0.0,2759.0,102107.0,6.0,['SMMI'],0.0,CA,12908567,13753,4.984,0.005,34.2409052,-118.3396019
8,1031.01,0.07,0.00,0.04,0.10,0.02,0.13,0.10,0.05,0.05,0.13,0.25,0.06,0.04,0.03,0.03,0.96,0.75,0.00,0.02,0.15,0.11,0.15,0.01,0.43,0.34,0.03,0.00,0.72,0.09,0.29,0.20,0.06,0.09,0.32,0.14,0.24,0.85,0.01,0.01,0.07,0.25,225.0,224.0,36.2,89211.0,99208.0,976.0,0.0,0.0,5.6,509600.00,2399.0,584.0,2016.0,2582.0,866.0,790.0,916.0,2597.0,111.5,46.5,103101.0,6037103101.0,7.0,['ARE'],0.0,1786.0,103101.0,7.0,['ARE'],0.0,CA,2029809,0,0.784,0.0,34.2732407,-118.3078874
9,1031.02,0.07,0.00,0.05,0.08,0.04,0.10,0.09,0.02,0.09,0.11,0.25,0.06,0.06,0.04,0.02,0.90,0.64,0.01,0.00,0.21,0.11,0.20,0.04,0.40,0.29,0.02,0.02,0.79,0.13,0.35,0.22,0.08,0.07,0.29,0.11,0.22,0.73,0.00,0.00,0.17,0.23,160.0,473.0,35.7,74631.0,87561.0,1700.0,0.0,7.7,5.2,447500.00,2115.0,558.0,1583.0,4456.0,2114.0,2077.0,1568.0,4456.0,100.1,44.1,103102.0,6037103102.0,6.0,['SMMI'],0.0,851.0,103102.0,6.0,['SMMI'],0.0,CA,1241029,0,0.479,0.0,34.2633843,-118.3073883
