,Own children of the householder 6 to 17 years,YEAR OF ENTRY Foreign born,Median age (years),GROSS RENT Occupied units paying rent Median (dollars),Sex ratio (males per 100 females),"Educational services, and health care and social assistance",relation_max_fee,White,ROOM Median rooms,Hispanic or Latino (of any race),Mean household income (dollars),VALUE Median (dollars),Mean travel time to work (minutes),Total population,Rental vacancy rate,relation_min_fee,HOUSING TENURE Renter-occupied,"Arts, entertainment, and recreation, and accommodation and food services",SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),Own children of the householder under 6 years,label,INTPTLONG                                                                                                                             ,INTPTLAT,geoid
0,718.0,1681.0,38.6,1237.0,89.77,0.3,1471.0,0.44,5.0,0.75,80621.0,394800.0,44.0,5251.0,1.3,911.0,0.46,0.05,758.0,2739.0,291.0,0.0,-73.8606612,40.8035344,36005000200.0
1,883.0,1346.0,39.4,1390.0,90.81,0.31,1471.0,0.43,5.0,0.65,82182.0,353500.0,48.4,5980.0,12.3,408.0,0.26,0.08,692.0,2478.0,373.0,0.0,-73.8514252,40.8087867,36005000400.0
2,1100.0,2191.0,36.9,945.0,71.75,0.41,1275.0,0.43,4.1,0.67,39721.0,376400.0,35.8,6056.0,1.7,408.0,0.85,0.06,698.0,2380.0,498.0,1.0,-73.8580764,40.8188478,36005001600.0
3,894.0,743.0,27.8,417.0,77.48,0.29,1094.0,0.18,3.6,0.63,25308.0,582861.2010443864,41.5,4824.0,2.6,474.0,0.99,0.16,835.5364006988934,2637.827457264957,452.0,1.0,-73.9258441,40.8090823,36005002300.0
4,1151.0,1880.0,30.4,692.0,86.75,0.26,1067.0,0.16,4.0,0.78,34078.0,475000.0,39.3,5651.0,3.8,447.0,0.96,0.22,835.5364006988934,2320.0,602.0,0.0,-73.9208749,40.8070025,36005002500.0
5,783.0,728.0,25.2,447.0,83.32,0.26,1067.0,0.13,4.1,0.68,24951.0,582861.2010443864,43.9,3034.0,4.944467353951887,474.0,1.0,0.13,835.5364006988934,2637.827457264957,360.0,1.0,-73.9163335,40.8050606,36005002701.0
6,1037.0,1146.0,27.3,963.0,94.76,0.21,1134.0,0.15,4.3,0.69,28822.0,437100.0,48.2,4684.0,4.944467353951887,626.0,0.95,0.18,835.5364006988934,1441.0,223.0,1.0,-73.9137729,40.806449,36005002702.0
7,659.0,1033.0,42.7,937.0,85.06,0.43,1291.0,0.11,3.8,0.38,56253.0,254700.0,43.9,5350.0,4.944467353951887,387.0,0.83,0.04,835.5364006988934,1484.0,223.0,0.0,-73.8782336,40.8225183,36005002800.0
8,331.0,696.0,33.8,1025.0,112.68,0.28,1011.0,0.16,3.5,0.67,50095.0,58100.0,42.8,1744.0,4.944467353951887,626.0,0.77,0.13,277.0,927.0,143.0,1.0,-73.9056901,40.8098988,36005003100.0
9,1002.0,1037.0,26.6,626.0,79.89,0.36,1134.0,0.12,4.1,0.63,30995.0,406300.0,42.9,3855.0,4.7,880.0,0.89,0.13,835.5364006988934,2139.0,242.0,1.0,-73.9119436,40.8082418,36005003300.0
10,816.0,1259.0,30.3,880.0,88.82,0.29,1025.0,0.09,3.9,0.74,36927.0,420000.0,44.1,3935.0,3.5,626.0,0.93,0.14,1008.0,2205.0,431.0,1.0,-73.9086696,40.8109651,36005003500.0
11,200.0,176.0,31.5,911.0,85.97,0.54,1275.0,0.41,4.7,0.59,57733.0,350000.0,41.8,1246.0,6.0,408.0,0.74,0.08,827.0,2364.0,97.0,1.0,-73.8633435,40.8202946,36005003800.0
12,837.0,2593.0,29.5,1067.0,116.31,0.15,984.0,0.18,4.0,0.81,45872.0,245000.0,41.2,6487.0,5.6,447.0,0.95,0.31,835.5364006988934,1983.0,827.0,0.0,-73.9214264,40.8097217,36005003900.0
13,218.0,492.0,40.2,1057.0,91.39,0.26,1270.0,0.25,4.9,0.57,59509.0,409500.0,41.6,1489.0,3.8,815.0,0.5,0.02,795.0,2450.0,85.0,0.0,-73.8583355,40.8282719,36005004001.0
14,1267.0,1432.0,24.2,538.0,104.14,0.27,1067.0,0.16,4.0,0.8,28600.0,342900.0,39.7,6208.0,4.944467353951887,447.0,0.92,0.18,835.5364006988934,2500.0,509.0,1.0,-73.9194099,40.8113856,36005004100.0
15,1205.0,1257.0,34.8,815.0,84.36,0.47,1386.0,0.27,4.2,0.47,33930.0,582861.2010443864,46.0,7848.0,1.7,808.0,0.9,0.1072845450168516,265.0,1324.0,688.0,1.0,-73.8620068,40.8239305,36005004200.0
16,1170.0,1601.0,30.3,786.0,107.05,0.25,1067.0,0.11,3.9,0.71,33550.0,439900.0,39.2,6021.0,4.0,538.0,0.9,0.18,835.5364006988934,2262.0,554.0,1.0,-73.9170376,40.8136213,36005004300.0
17,852.0,860.0,32.1,480.0,77.59,0.39,1288.0,0.13,4.2,0.62,29794.0,362500.0,43.7,4827.0,1.3,808.0,0.93,0.07,835.5364006988934,2625.0,336.0,1.0,-73.8664136,40.8265155,36005004400.0
18,370.0,440.0,33.6,808.0,92.97,0.28,1288.0,0.45,3.8,0.6,49529.0,135200.0,37.0,1976.0,4.944467353951887,480.0,0.75,0.07,835.5364006988934,4000.0,224.0,0.0,-73.8691775,40.8224189,36005004600.0
19,659.0,1989.0,30.1,1095.0,97.46,0.23,1288.0,0.15,3.5,0.76,40701.0,582861.2010443864,44.6,4504.0,4.6,480.0,0.93,0.12,835.5364006988934,1909.0,532.0,0.0,-73.8743044,40.8270172,36005004800.0
20,918.0,1748.0,30.8,1291.0,94.04,0.27,1204.0,0.1,3.9,0.65,43519.0,381800.0,47.4,5181.0,1.1,660.0,0.86,0.19,756.0,3484.0,375.0,0.0,-73.8778533,40.824997,36005005001.0
21,922.0,3103.0,30.0,1168.0,98.22,0.2,1291.0,0.16,3.4,0.7,37409.0,554900.0,46.3,5687.0,3.3,660.0,0.97,0.11,1066.0,3295.0,627.0,0.0,-73.878435,40.8273629,36005005002.0
22,1205.0,1365.0,26.4,522.0,62.26,0.35,1503.0,0.1,4.1,0.74,28321.0,582861.2010443864,41.6,5676.0,1.2,417.0,1.0,0.14,835.5364006988934,2637.827457264957,595.0,0.0,-73.9275676,40.8132061,36005005100.0
