Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total population,Sex ratio (males per 100 females),Median age (years),Unemployment Rate,Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Percent bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,Asian,Hispanic or Latino (of any race),geoid,typo,INTPTLAT_x,INTPTLONG,label_bin,label_three,label_four,USPS,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT_y,INTPTLONG,relation_max_fee,relation_min_fee
302.4725698,516.2725962,41.23394143,60966.1432,82813.3074,1645.193084,4.944467354,4.305475504,582861.201,2637.827457,835.5364007,1391.830034,3966.6561,1689,1216,7503,1374.07,32.1,0.08903938521,0.05724859622,0.03900655572,0.02746184285,0.1009221902,0.06899059871,0.03797297297,0.08793535938,0.1218260452,0.2769769674,0.107284545,0.05686018384,0.04268056968,0.09948643411,0.8909688249,0.566882494,0.6364073007,0.04078389831,0.2957829011,0.4873439001,0.1370536153,0.05078651685,0.06558448188,0.04194654271,0.623960199,0.1324520154,0.87,0.83,0.11,0.48,0.01,0.06,0.01,0.12,0.63,0.02,0.3,36005000100,MHI - Stable Exclusion,40.79,-73.88,0,0,0,NY,1677210,1035011,0.648,0.4,40.7929362,-73.8812065,1679,1094
291,718,44,70893,80621,1486,1.3,5,394800,2739,758,1237,5246,2393,1681,5251,89.77,38.6,0.07,0.03,0.03,0.01,0.13,0.17,0.02,0.09,0.08,0.3,0.05,0.03,0.05,0.1,0.92,0.6,0.46,0.02,0.29,0.11,0.32,0.06,0.11,0.07,0.75,0.14,0.42,0.37,0.11,0.12,0.18,0.03,0.17,0.44,0.25,0.03,0.75,36005000200,MHI - Stable Exclusion,40.8,-73.86,0,0,0,NY,479463,852046,0.185,0.329,40.8035344,-73.8606612,1471,911
373,883,48.4,76667,82182,2130,12.3,5,353500,2478,692,1390,5967,1900,1346,5980,90.81,39.4,0.09,0.04,0.02,0.02,0.06,0.1,0.04,0.05,0.12,0.31,0.08,0.04,0.11,0.09,0.94,0.69,0.26,0.01,0.2,0.28,0.24,0.04,0.02,0.01,0.86,0.11,0.52,0.45,0.06,0.1,0.24,0.05,0.14,0.43,0.34,0.01,0.65,36005000400,MHI - Stable Exclusion,40.81,-73.85,0,0,0,NY,770689,690794,0.298,0.267,40.8087867,-73.8514252,1471,408
498,1100,35.8,31540,39721,2049,1.7,4.1,376400,2380,698,945,5795,2966,2191,6056,71.75,36.9,0.08,0.02,0.02,0.03,0.11,0.16,0.03,0.02,0.07,0.41,0.06,0.04,0.03,0.15,0.91,0.53,0.85,0.04078389831,0.28,0.51,0.1,0.05078651685,0.06,0.05,0.78,0.16,0.56,0.44,0.15,0.15,0.1,0.08,0.19,0.43,0.36,0.1562713675,0.67,36005001600,LI - At Risk of Gentrification,40.82,-73.86,1,1,1,NY,485079,0,0.187,0,40.8188478,-73.8580764,1275,408
213,304,43.8,39130,49066,1011,1,3.6,374400,1547,745,1134,2184,799,573,2682,92.4,32.5,0.16,0.06,0.04,0.01,0.08,0.07,0.02,0.08,0.11,0.29,0.12,0.07,0.05,0.18,0.81,0.36,0.91,0.04,0.63,0.65,0.04,0.01,0.03,0.06,0.49,0.03,0.71,0.56,0.08,0.17,0.21,0.11,0.06,0.17,0.37,0.02,0.54,36005001900,LI - Ongoing Gentrification,40.8,-73.91,1,2,2,NY,1668013,1143135,0.644,0.441,40.800999,-73.9093729,1025,447
734,1660,44.2,17083,30926,3190,2.7,4.1,378500,2683,742,610,9131,3082,2176,9131,64.64,32.5,0.17,0.05,0.02,0.02746184285,0.07,0.12,0.03,0.08,0.04,0.43,0.11,0.03,0.02,0.31,0.88,0.35,0.83,0.01,0.24,0.69,0.06,0.05078651685,0.04,0.02,0.76,0.11,0.64,0.59,0.17,0.21,0.11,0.07,0.15,0.33,0.45,0.03,0.61,36005002000,LI - At Risk of Gentrification,40.82,-73.87,1,1,1,NY,395564,0,0.153,0,40.8175801,-73.8660962,1095,480
452,894,41.5,16503,25308,2011,2.6,3.6,582861.201,2637.827457,835.5364007,417,4819,1443,743,4824,77.48,27.8,0.17,0.03,0.04,0.01,0.12,0.09,0.02,0.03,0.13,0.29,0.16,0.06,0.02,0.3,0.92,0.27,0.99,0.04078389831,0.23,0.84,0.02,0.01,0.06,0.03,0.623960199,0.14,0.63,0.58,0.24,0.21,0.05,0.06,0.16,0.18,0.41,0.1562713675,0.63,36005002300,LI - At Risk of Gentrification,40.81,-73.93,1,1,1,NY,104645,0,0.04,0,40.8090823,-73.9258441,1094,474
602,1151,39.3,21060,34078,2053,3.8,4,475000,2320,835.5364007,692,5651,2463,1880,5651,86.75,30.4,0.1,0.06,0.06,0.01,0.12,0.07,0.03797297297,0.07,0.07,0.26,0.22,0.05,0.02,0.26,0.82,0.25,0.96,0.02,0.3,0.65,0.03,0.01,0.09,0.08,0.76,0.08,0.57,0.56,0.26,0.19,0.1,0.05,0.11,0.16,0.21,0.03,0.78,36005002500,LI - Ongoing Displacement of Low-Income Households,40.81,-73.92,0,0,0,NY,127492,0,0.049,0,40.8070025,-73.9208749,1067,447
360,783,43.9,18409,24951,1092,4.944467354,4.1,582861.201,2637.827457,835.5364007,447,3034,1028,728,3034,83.32,25.2,0.15,0.04,0.05,0.01,0.17,0.07,0.03,0.03,0.1,0.26,0.13,0.09,0.03,0.37,0.87,0.25,1,0.01,0.2,0.81,0.02,0.05078651685,0.07,0.03,0.623960199,0.07,0.65,0.56,0.14,0.24,0.1,0.03,0.08,0.13,0.35,0.1562713675,0.68,36005002701,LI - Ongoing Gentrification,40.81,-73.92,1,2,2,NY,82641,0,0.032,0,40.8050606,-73.9163335,1067,474
223,1037,48.2,16000,28822,1476,4.944467354,4.3,437100,1441,835.5364007,963,4412,1775,1146,4684,94.76,27.3,0.06,0.02,0.02,0.01,0.19,0.07,0.04,0.05,0.05,0.21,0.18,0.12,0.04,0.25,0.8,0.26,0.95,0.03,0.29,0.88,0.01,0.05078651685,0.04,0.03,1,0.08,0.68,0.58,0.24,0.24,0.08,0.06,0.09,0.15,0.36,0.1562713675,0.69,36005002702,LI - At Risk of Gentrification,40.81,-73.91,1,1,1,NY,155504,0,0.06,0,40.806449,-73.9137729,1134,626
223,659,43.9,49180,56253,2435,4.944467354,3.8,254700,1484,835.5364007,937,5341,1478,1033,5350,85.06,42.7,0.12,0.05724859622,0.03900655572,0.05,0.09,0.1,0.02,0.11,0.08,0.43,0.04,0.02,0.08,0.05,0.95,0.63,0.83,0.01,0.15,0.35,0.08,0.02,0.04,0.03,0.73,0.17,0.57,0.52,0.1,0.08,0.2,0.15,0.2,0.11,0.65,0.01,0.38,36005002800,LI - Ongoing Displacement of Low-Income Households,40.82,-73.88,0,0,0,NY,414588,24677,0.16,0.01,40.8225183,-73.8782336,1291,387
