,Label (Grouping)_x,Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Homeowner vacancy rate,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total households,Total population,Sex ratio (males per 100 females),Median age (years),tract_numb,Label (Grouping)_y,Unemployment Rate,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2016 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Percent bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race),tract,LOGRECNO,GEOID,geoid,typo,USPS,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                             ,label 
0,"Census Tract 1, Bronx County, New York!!Estimate",0,0,-,-,-,0,-,-,-,-,-,-,-,0,"1,689","1,216",(X),"7,503",1374.066798,32.1,"Census Tract 1, Bronx County, New York","Census Tract 1, Bronx County, New York!!Percent",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.40%,87.30%,82.70%,11.20%,47.80%,1.40%,5.80%,1.30%,12.40%,62.60%,0.20%,1.80%,29.90%,1,3480,14000US36005000100,36005000100,MHI - Stable Exclusion,NY,1677210,1035011,0.648,0.4,40.7929362,-73.8812065,0
1,"Census Tract 2, Bronx County, New York!!Estimate",291,718,44,"70,893","80,621","1,486",0,1.3,5,"394,800","2,739",758,"1,237","5,246","2,393","1,681",(X),"5,251",89.77231659,38.6,"Census Tract 2, Bronx County, New York","Census Tract 2, Bronx County, New York!!Percent",6.80%,0.00%,2.80%,2.80%,1.20%,12.70%,17.10%,1.90%,9.20%,8.40%,30.00%,5.40%,3.30%,5.20%,10.00%,91.50%,59.80%,0.00%,0.00%,46.40%,2.00%,29.00%,11.40%,31.90%,5.80%,10.50%,6.50%,74.80%,14.10%,41.70%,37.10%,10.60%,12.20%,17.60%,3.40%,17.30%,43.50%,24.80%,0.00%,2.80%,75.00%,2,3481,14000US36005000200,36005000200,MHI - Stable Exclusion,NY,479463,852046,0.185,0.329,40.8035344,-73.8606612,0
2,"Census Tract 4, Bronx County, New York!!Estimate",373,883,48.4,"76,667","82,182","2,130",2.4,12.3,5,"353,500","2,478",692,"1,390","5,967","1,900","1,346",(X),"5,980",90.81046586,39.4,"Census Tract 4, Bronx County, New York","Census Tract 4, Bronx County, New York!!Percent",9.00%,0.00%,3.80%,2.20%,2.20%,6.30%,10.40%,4.00%,5.00%,11.90%,30.70%,8.20%,4.20%,11.00%,8.50%,94.20%,69.40%,0.00%,0.90%,26.30%,1.00%,20.10%,27.60%,23.50%,3.80%,2.10%,0.90%,85.90%,10.50%,51.90%,45.10%,5.70%,9.80%,23.50%,4.80%,14.20%,43.40%,33.80%,0.30%,1.00%,64.70%,4,3482,14000US36005000400,36005000400,MHI - Stable Exclusion,NY,770689,690794,0.298,0.267,40.8087867,-73.8514252,0
3,"Census Tract 16, Bronx County, New York!!Estimate",498,"1,100",35.8,"31,540","39,721","2,049",0,1.7,4.1,"376,400","2,380",698,945,"5,795","2,966","2,191",(X),"6,056",71.75269427,36.9,"Census Tract 16, Bronx County, New York","Census Tract 16, Bronx County, New York!!Percent",8.40%,0.00%,2.30%,2.10%,3.40%,10.90%,15.90%,2.70%,2.10%,6.80%,41.20%,5.90%,4.30%,2.70%,15.20%,90.60%,52.90%,0.00%,1.90%,84.50%,0.00%,28.00%,51.00%,10.40%,0.00%,6.20%,5.00%,77.70%,15.50%,56.10%,43.90%,14.90%,14.70%,9.80%,8.00%,18.60%,43.30%,36.10%,0.00%,0.00%,66.70%,16,3483,14000US36005001600,36005001600,LI - At Risk of Gentrification,NY,485079,0,0.187,0,40.8188478,-73.8580764,1
4,"Census Tract 19, Bronx County, New York!!Estimate",213,304,43.8,"39,130","49,066","1,011",0,1,3.6,"374,400","1,547",745,"1,134","2,184",799,573,(X),"2,682",92.39598278,32.5,"Census Tract 19, Bronx County, New York","Census Tract 19, Bronx County, New York!!Percent",16.40%,0.00%,6.10%,3.90%,1.30%,7.90%,6.80%,2.20%,7.60%,11.20%,28.60%,12.40%,6.90%,5.10%,18.10%,81.00%,35.60%,0.00%,31.10%,90.90%,4.30%,62.80%,65.20%,3.60%,1.40%,2.80%,5.60%,48.90%,3.20%,70.70%,55.80%,8.30%,16.50%,20.50%,10.50%,5.50%,16.90%,37.10%,0.00%,1.90%,54.00%,19,3484,14000US36005001900,36005001900,LI - Ongoing Gentrification,NY,1668013,1143135,0.644,0.441,40.800999,-73.9093729,1
5,"Census Tract 20, Bronx County, New York!!Estimate",734,"1,660",44.2,"17,083","30,926","3,190",0,2.7,4.1,"378,500","2,683",742,610,"9,131","3,082","2,176",(X),"9,131",64.64118283,32.5,"Census Tract 20, Bronx County, New York","Census Tract 20, Bronx County, New York!!Percent",17.10%,0.00%,5.00%,2.20%,0.00%,7.40%,11.50%,2.60%,7.80%,3.80%,43.30%,10.80%,3.40%,2.20%,31.40%,87.50%,34.70%,0.00%,0.00%,83.00%,1.30%,24.00%,69.00%,6.10%,0.40%,4.40%,1.50%,76.30%,11.00%,63.60%,58.90%,16.60%,20.70%,10.90%,6.60%,14.50%,33.00%,45.10%,1.80%,2.70%,61.40%,20,3485,14000US36005002000,36005002000,LI - At Risk of Gentrification,NY,395564,0,0.153,0,40.8175801,-73.8660962,1
6,"Census Tract 23, Bronx County, New York!!Estimate",452,894,41.5,"16,503","25,308","2,011",0,2.6,3.6,-,-,-,417,"4,819","1,443",743,(X),"4,824",77.48344371,27.8,"Census Tract 23, Bronx County, New York","Census Tract 23, Bronx County, New York!!Percent",17.40%,0.00%,3.30%,3.80%,1.40%,12.20%,9.10%,2.10%,2.90%,12.80%,28.90%,15.70%,6.10%,1.60%,29.60%,91.80%,27.00%,0.40%,1.60%,99.20%,0.00%,23.40%,84.10%,1.70%,0.60%,5.90%,3.30%,0.00%,13.70%,62.70%,57.60%,23.80%,20.80%,5.20%,6.30%,16.30%,17.90%,41.00%,2.00%,0.00%,62.80%,23,3486,14000US36005002300,36005002300,LI - At Risk of Gentrification,NY,104645,0,0.04,0,40.8090823,-73.9258441,1
7,"Census Tract 24, Bronx County, New York!!Estimate",0,25,N,-,N,26,-,0,-,-,-,-,-,123,65,65,(X),123,272.7272727,27.9,"Census Tract 24, Bronx County, New York","Census Tract 24, Bronx County, New York!!Percent",0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,26.50%,0.00%,39.80%,33.70%,0.00%,0.00%,0.00%,78.90%,31.70%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,-,0.00%,100.00%,0.00%,0.00%,0.00%,66.30%,47.20%,0.00%,47.20%,52.80%,0.00%,0.00%,0.00%,24,3487,14000US36005002400,36005002400,Missing Data,NY,675911,263388,0.261,0.102,40.8157352,-73.8710826,0
8,"Census Tract 25, Bronx County, New York!!Estimate",602,"1,151",39.3,"21,060","34,078","2,053",30.8,3.8,4,"475,000","2,320",-,692,"5,651","2,463","1,880",(X),"5,651",86.74818242,30.4,"Census Tract 25, Bronx County, New York","Census Tract 25, Bronx County, New York!!Percent",10.30%,0.50%,6.10%,5.70%,0.60%,12.40%,7.00%,0.00%,6.60%,7.30%,25.70%,21.80%,4.70%,1.50%,25.50%,81.80%,25.40%,0.00%,0.00%,96.00%,1.50%,30.00%,65.30%,3.20%,1.00%,8.60%,8.00%,76.40%,8.30%,56.90%,56.40%,26.00%,18.70%,9.50%,5.10%,10.70%,15.70%,20.80%,0.00%,3.30%,77.80%,25,3488,14000US36005002500,36005002500,LI - Ongoing Displacement of Low-Income Households,NY,127492,0,0.049,0,40.8070025,-73.9208749,0
9,"Census Tract 27.01, Bronx County, New York!!Estimate",360,783,43.9,"18,409","24,951","1,092",-,0,4.1,-,-,-,447,"3,034","1,028",728,(X),"3,034",83.32326284,25.2,"Census Tract 27.01, Bronx County, New York","Census Tract 27.01, Bronx County, New York!!Percent",14.50%,0.00%,4.20%,4.60%,1.20%,16.90%,6.60%,2.50%,3.30%,10.40%,25.90%,13.30%,8.50%,2.50%,37.00%,86.60%,24.70%,0.00%,1.30%,100.00%,1.10%,20.20%,81.10%,1.80%,0.00%,6.90%,3.10%,-,6.60%,65.00%,55.70%,13.60%,24.20%,10.40%,2.90%,7.90%,12.70%,34.60%,0.00%,0.00%,68.00%,27.01,3489,14000US36005002701,36005002701,LI - Ongoing Gentrification,NY,82641,0,0.032,0,40.8050606,-73.9163335,1
