,EDUCATIONAL ATTAINMENT Less than 9th grade,HEALTH INSURANCE COVERAGE With private health insurance,Construction,White,"Educational services, and health care and social assistance",Retail trade,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,Median age (years),Mean travel time to work (minutes),Sex ratio (males per 100 females),GROSS RENT Occupied units paying rent Median (dollars),YEAR OF ENTRY Foreign born,relation_min_fee,Total population,Own children of the householder under 6 years,SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),Mean household income (dollars),VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),relation_max_fee,Total housing units,Own children of the householder 6 to 17 years,Rental vacancy rate,"Professional, scientific, and management, and administrative and waste management services","Arts, entertainment, and recreation, and accommodation and food services",ROOM Median rooms,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,Black or African American,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",VEHICLES AVAILABLE No vehicles available,Hispanic or Latino (of any race),HOUSING TENURE Renter-occupied,PLACE OF BIRTH Native Different state,VEHICLES AVAILABLE 3 or more vehicles available,geoid,label
0,0.11,0.5668824940047962,0.0572485962225625,0.12,0.2769769673704416,0.1009221902017294,0.6239601990049735,32.1,41.23394143062887,1374.07,1391.8300338000963,1216.0,1094.0,7503.0,302.47256977863333,2637.827457264957,82813.30739673392,582861.2010443864,835.5364006988934,1679.0,1645.193083573487,516.2725961538462,4.944467353951887,0.1218260451705915,0.1072845450168516,4.305475504322766,0.295782901056677,0.63,0.48,0.4873439000960621,0.3,0.6364073006724306,0.06,0.0507865168539326,36005000100.0,0.0
1,0.11,0.6,0.03,0.44,0.3,0.13,0.75,38.6,44.0,89.77,1237.0,1681.0,911.0,5251.0,291.0,2739.0,80621.0,394800.0,758.0,1471.0,1486.0,718.0,1.3,0.08,0.05,5.0,0.29,0.25,0.12,0.11,0.75,0.46,0.03,0.06,36005000200.0,0.0
2,0.06,0.69,0.04,0.43,0.31,0.06,0.86,39.4,48.4,90.81,1390.0,1346.0,408.0,5980.0,373.0,2478.0,82182.0,353500.0,692.0,1471.0,2130.0,883.0,12.3,0.12,0.08,5.0,0.2,0.34,0.1,0.28,0.65,0.26,0.05,0.04,36005000400.0,0.0
3,0.15,0.53,0.02,0.43,0.41,0.11,0.78,36.9,35.8,71.75,945.0,2191.0,408.0,6056.0,498.0,2380.0,39721.0,376400.0,698.0,1275.0,2049.0,1100.0,1.7,0.07,0.06,4.1,0.28,0.36,0.15,0.51,0.67,0.85,0.08,0.0507865168539326,36005001600.0,1.0
4,0.08,0.36,0.06,0.17,0.29,0.08,0.49,32.5,43.8,92.4,1134.0,573.0,447.0,2682.0,213.0,1547.0,49066.0,374400.0,745.0,1025.0,1011.0,304.0,1.0,0.11,0.12,3.6,0.63,0.37,0.17,0.65,0.54,0.91,0.11,0.01,36005001900.0,1.0
5,0.17,0.35,0.05,0.33,0.43,0.07,0.76,32.5,44.2,64.64,610.0,2176.0,480.0,9131.0,734.0,2683.0,30926.0,378500.0,742.0,1095.0,3190.0,1660.0,2.7,0.04,0.11,4.1,0.24,0.45,0.21,0.69,0.61,0.83,0.07,0.0507865168539326,36005002000.0,1.0
6,0.24,0.27,0.03,0.18,0.29,0.12,0.6239601990049735,27.8,41.5,77.48,417.0,743.0,474.0,4824.0,452.0,2637.827457264957,25308.0,582861.2010443864,835.5364006988934,1094.0,2011.0,894.0,2.6,0.13,0.16,3.6,0.23,0.41,0.21,0.84,0.63,0.99,0.06,0.01,36005002300.0,1.0
7,0.26,0.25,0.06,0.16,0.26,0.12,0.76,30.4,39.3,86.75,692.0,1880.0,447.0,5651.0,602.0,2320.0,34078.0,475000.0,835.5364006988934,1067.0,2053.0,1151.0,3.8,0.07,0.22,4.0,0.3,0.21,0.19,0.65,0.78,0.96,0.05,0.01,36005002500.0,0.0
8,0.14,0.25,0.04,0.13,0.26,0.17,0.6239601990049735,25.2,43.9,83.32,447.0,728.0,474.0,3034.0,360.0,2637.827457264957,24951.0,582861.2010443864,835.5364006988934,1067.0,1092.0,783.0,4.944467353951887,0.1,0.13,4.1,0.2,0.35,0.24,0.81,0.68,1.0,0.03,0.0507865168539326,36005002701.0,1.0
9,0.24,0.26,0.02,0.15,0.21,0.19,1.0,27.3,48.2,94.76,963.0,1146.0,626.0,4684.0,223.0,1441.0,28822.0,437100.0,835.5364006988934,1134.0,1476.0,1037.0,4.944467353951887,0.05,0.18,4.3,0.29,0.36,0.24,0.88,0.69,0.95,0.06,0.0507865168539326,36005002702.0,1.0
10,0.1,0.63,0.0572485962225625,0.11,0.43,0.09,0.73,42.7,43.9,85.06,937.0,1033.0,387.0,5350.0,223.0,1484.0,56253.0,254700.0,835.5364006988934,1291.0,2435.0,659.0,4.944467353951887,0.08,0.04,3.8,0.15,0.65,0.08,0.35,0.38,0.83,0.15,0.02,36005002800.0,0.0
11,0.21,0.41,0.04,0.16,0.28,0.08,0.61,33.8,42.8,112.68,1025.0,696.0,626.0,1744.0,143.0,927.0,50095.0,58100.0,277.0,1011.0,559.0,331.0,4.944467353951887,0.17,0.13,3.5,0.26,0.36,0.14,0.57,0.67,0.77,0.02,0.0507865168539326,36005003100.0,1.0
12,0.22,0.2,0.07,0.12,0.36,0.14,0.87,26.6,42.9,79.89,626.0,1037.0,880.0,3855.0,242.0,2139.0,30995.0,406300.0,835.5364006988934,1134.0,1267.0,1002.0,4.7,0.06,0.13,4.1,0.24,0.35,0.25,0.81,0.63,0.89,0.03,0.0507865168539326,36005003300.0,1.0
13,0.2,0.33,0.09,0.09,0.29,0.07,0.54,30.3,44.1,88.82,880.0,1259.0,626.0,3935.0,431.0,2205.0,36927.0,420000.0,1008.0,1025.0,1410.0,816.0,3.5,0.15,0.14,3.9,0.26,0.3,0.23,0.63,0.74,0.93,0.04,0.0507865168539326,36005003500.0,1.0
14,0.11,0.6,0.04,0.41,0.54,0.05,0.59,31.5,41.8,85.97,911.0,176.0,408.0,1246.0,97.0,2364.0,57733.0,350000.0,827.0,1275.0,433.0,200.0,6.0,0.02,0.08,4.7,0.17,0.41,0.12,0.54,0.59,0.74,0.1021207729468604,0.04,36005003800.0,1.0
15,0.32,0.28,0.09,0.18,0.15,0.12,0.74,29.5,41.2,116.31,1067.0,2593.0,447.0,6487.0,827.0,1983.0,45872.0,245000.0,835.5364006988934,984.0,2251.0,837.0,5.6,0.06,0.31,4.0,0.4,0.15,0.15,0.77,0.81,0.95,0.01,0.0507865168539326,36005003900.0,0.0
16,0.17,0.61,0.06,0.25,0.26,0.15,0.42,40.2,41.6,91.39,1057.0,492.0,815.0,1489.0,85.0,2450.0,59509.0,409500.0,795.0,1270.0,547.0,218.0,3.8,0.11,0.02,4.9,0.24,0.11,0.13,0.29,0.57,0.5,0.03,0.03,36005004001.0,0.0
17,0.22,0.27,0.05,0.16,0.27,0.2,0.81,24.2,39.7,104.14,538.0,1432.0,447.0,6208.0,509.0,2500.0,28600.0,342900.0,835.5364006988934,1067.0,2186.0,1267.0,4.944467353951887,0.07,0.18,4.0,0.19,0.27,0.26,0.81,0.8,0.92,0.05,0.01,36005004100.0,1.0
